"ChallengeX","ChallengeY","Tester Name","Device Name"
"461.0","576.0","akhilesh tyagi","nexus-03"
"516.0","278.0","akhilesh tyagi","nexus-03"
"191.0","503.0","akhilesh tyagi","nexus-03"
"627.0","704.0","akhilesh tyagi","nexus-03"
"X","Y","PRESSURE"
"474.0","601.9697","0.096"
"470.32333","601.9697","0.3984"
"470.234","598.8618","0.62880003"
"471.05875","593.4497","0.63360006"
"472.59927","588.8449","0.64320004"
"473.73978","585.75696","0.64320004"
"474.87546","581.7258","0.648"
"476.01736","577.1751","0.6672"
"477.15552","572.7604","0.68640006"
"480.47217","562.3402","0.68160003"
"482.42776","556.8655","0.68160003"
"483.0625","553.78784","0.68160003"
"485.31863","545.81287","0.6912"
"487.02225","539.7946","0.7056"
"488.20334","534.3172","0.6912"
"490.28607","527.9254","0.69600004"
"492.46783","521.5784","0.69600004"
"494.75098","514.9365","0.6912"
"497.01056","507.75714","0.68640006"
"498.19446","501.2019","0.68160003"
"499.94745","495.24506","0.70080006"
"501.07764","488.66962","0.7056"
"503.6353","480.48016","0.69600004"
"507.26782","467.47626","0.69600004"
"509.47833","459.9721","0.70080006"
"511.7375","453.40002","0.72"
"513.3661","446.2381","0.71040004"
"515.6321","440.43732","0.71040004"
"516.5469","434.42432","0.72"
"517.70184","427.70428","0.72"
"518.29504","423.19586","0.7152"
"518.375","418.7804","0.72"
"519.2381","413.961","0.7296"
"520.36975","408.66187","0.72"
"520.875","403.1786","0.7056"
"520.875","397.7016","0.72"
"520.875","393.17224","0.72"
"520.875","389.20728","0.7152"
"520.875","386.18097","0.71040004"
"520.875","382.8037","0.71040004"
"520.875","379.22412","0.72"
"520.875","375.89838","0.71040004"
"520.875","372.57013","0.71040004"
"520.875","369.26062","0.7056"
"521.54315","365.31305","0.71040004"
"522.6816","357.04584","0.7056"
"523.0231","354.397","0.71040004"
"522.75","349.3899","0.72480005"
"522.75","347.1272","0.7152"
"522.75","344.28784","0.7056"
"522.75","341.22446","0.7056"
"522.75","337.87833","0.72480005"
"522.75","334.65326","0.70080006"
"522.75","330.60675","0.70080006"
"523.3767","328.0204","0.7152"
"524.8954","322.8703","0.72"
"524.625","320.04562","0.72"
"525.34045","317.2887","0.71040004"
"525.25","313.02878","0.69600004"
"525.25","310.1756","0.71040004"
"525.25","308.0192","0.7056"
"525.25","304.69464","0.70080006"
"522.116","305.0","0.72480005"
"518.3121","305.7395","0.7296"
"514.7858","307.64932","0.73440003"
"510.56836","309.69412","0.744"
"507.40753","311.6235","0.744"
"503.79285","314.02283","0.7296"
"501.167","316.83807","0.73920006"
"497.04022","319.6042","0.72"
"490.2342","324.00012","0.72480005"
"486.81982","326.66077","0.72480005"
"484.23477","328.7497","0.7152"
"480.49252","331.77374","0.71040004"
"476.7369","335.67935","0.7056"
"472.3307","339.11478","0.7152"
"467.5182","342.44135","0.72"
"464.4666","344.29434","0.72"
"460.99548","346.53827","0.71040004"
"457.40262","350.18536","0.71040004"
"448.47803","357.1978","0.7056"
"444.89316","359.57416","0.7056"
"442.36163","361.2107","0.69600004"
"436.81732","364.50464","0.68640006"
"431.43945","368.06946","0.68640006"
"426.91138","371.51904","0.68640006"
"422.36404","374.09753","0.6912"
"418.5096","377.5288","0.71040004"
"414.3125","379.8485","0.70080006"
"408.74805","383.2588","0.70080006"
"404.16663","385.2223","0.69600004"
"398.71832","388.62445","0.72480005"
"395.5625","389.8485","0.72480005"
"389.9505","394.46027","0.72"
"384.8205","397.00745","0.7056"
"378.97235","399.91986","0.7152"
"374.2905","402.627","0.7152"
"369.77377","405.36438","0.7152"
"364.40076","408.5244","0.7056"
"360.5625","410.75757","0.7056"
"354.9512","415.0658","0.71040004"
"349.90152","418.41486","0.7152"
"344.2513","422.01715","0.71040004"
"341.1875","424.39392","0.72480005"
"337.23077","426.74982","0.73440003"
"329.9681","430.9571","0.73920006"
"323.03","434.58063","0.73440003"
"316.69705","437.8551","0.70080006"
"311.05093","441.14008","0.68640006"
"305.33987","444.4629","0.6768"
"299.73828","447.722","0.67200005"
"294.09515","451.5929","0.6672"
"287.8358","455.49554","0.6768"
"282.18848","458.78125","0.6768"
"276.52765","462.07483","0.68160003"
"272.22427","465.38232","0.68640006"
"268.94647","467.45886","0.68640006"
"260.44214","473.49664","0.69600004"
"256.34415","476.36334","0.70080006"
"253.34305","478.44202","0.70080006"
"248.97086","481.47046","0.69600004"
"242.92462","484.89838","0.69600004"
"238.34961","487.66693","0.6912"
"234.78148","489.9494","0.6912"
"231.37177","492.15363","0.69600004"
"228.61423","493.93622","0.71040004"
"225.76178","496.3606","0.71040004"
"222.28008","497.6521","0.71040004"
"219.01283","499.94122","0.7056"
"215.61482","503.43414","0.70080006"
"212.82785","506.13666","0.68160003"
"209.97679","508.90137","0.6768"
"207.3112","512.19855","0.68640006"
"208.48499","515.23016","0.69600004"
"211.70203","516.63275","0.71040004"
"217.86711","518.3561","0.72480005"
"224.76772","520.62396","0.72480005"
"232.66896","522.81305","0.7152"
"242.4588","525.91595","0.7056"
"251.0072","529.2109","0.70080006"
"261.56393","532.4954","0.6912"
"271.7094","535.7748","0.70080006"
"279.8655","539.056","0.7152"
"287.93134","543.5948","0.744"
"295.26813","548.2441","0.75360006"
"301.4909","552.1445","0.744"
"306.642","555.39484","0.73920006"
"314.25638","559.9473","0.73440003"
"322.3137","564.92","0.72"
"328.0625","569.24243","0.72480005"
"332.38156","572.3078","0.7152"
"337.60587","576.2718","0.7296"
"343.2909","580.1026","0.74880004"
"348.4312","582.3307","0.73920006"
"353.6875","584.3939","0.72"
"358.18817","586.72766","0.71040004"
"362.72568","590.28534","0.7056"
"369.16455","593.56464","0.7152"
"375.40594","595.7272","0.72"
"382.09427","598.9245","0.72"
"388.8818","602.21545","0.7152"
"395.68143","605.5122","0.7056"
"402.44305","608.79065","0.69600004"
"409.7699","612.07324","0.70080006"
"418.53476","615.3547","0.68640006"
"427.45212","619.24854","0.6768"
"435.37662","622.5418","0.6768"
"442.6511","625.8247","0.6912"
"450.42563","629.6306","0.70080006"
"457.19748","632.91394","0.7056"
"463.97482","635.901","0.7152"
"469.9223","638.085","0.72"
"477.3239","641.7631","0.7152"
"484.1697","645.7158","0.72480005"
"491.477","650.1853","0.75360006"
"496.81622","653.99274","0.75360006"
"501.47028","657.4027","0.7728"
"504.93604","659.9232","0.77760005"
"509.02924","662.6826","0.77760005"
"512.477","664.82355","0.74880004"
"515.96454","666.25555","0.72480005"
"519.29083","667.8683","0.72480005"
"521.9233","670.1769","0.71040004"
"525.34326","671.09076","0.72480005"
"530.6036","673.6563","0.7296"
"533.2807","674.95435","0.74880004"
"537.5907","677.044","0.73920006"
"541.3453","678.86444","0.73440003"
"544.6678","680.47534","0.7296"
"548.8466","682.5014","0.72480005"
"551.51886","685.01526","0.73920006"
"555.3113","687.2175","0.7296"
"558.3406","688.98004","0.72480005"
"561.09955","690.5852","0.7296"
"564.6841","692.6708","0.72480005"
"567.3356","693.5665","0.74880004"
"565.23895","696.5331","0.7296"
"561.28546","698.82184","0.768"
"558.08606","699.89996","0.81600004"
"555.5858","700.20764","0.7968"
"552.72205","700.15155","0.8112"
"548.0998","700.15155","0.77760005"
"545.3282","699.4394","0.76320004"
"542.3583","699.5455","0.78720003"
"546.57837","698.30804","0.7824"
"550.5442","698.3334","0.75360006"
"553.89655","698.3334","0.744"
"557.55237","698.3334","0.73440003"
"560.95776","698.3334","0.7296"
"563.68066","698.99866","0.72480005"
"567.1598","700.1628","0.72"
"574.49817","703.47546","0.72480005"
"577.16","704.58167","0.72"
"579.27277","706.3885","0.72"
"583.8168","710.1045","0.72"
"586.83954","711.6218","0.72"
"589.7192","714.0428","0.73440003"
"593.2736","715.55695","0.72480005"
"597.5801","718.42554","0.73440003"
"600.17267","721.2887","0.73440003"
"602.75653","723.79425","0.73920006"
"606.1818","727.1158","0.7728"
"609.36237","729.52356","0.7584"
"612.51666","731.2885","0.76320004"
